Company,Weight
"eBay, Inc.",0.06541
"Mettler-Toledo International, Inc. (a)",0.06525
"Charter Communications, Inc. Class A (a)",0.06462
Tractor Supply Co.,0.06449
"Lululemon Athletica, Inc. (a)",0.06412
ON Semiconductor Corp. (a),0.0639
Kraft Heinz Co.,0.06366
"CoStar Group, Inc. (a)",0.06352
"PPG Industries, Inc.",0.06348
"Rockwell Automation, Inc.",0.06258
"WEC Energy Group, Inc.",0.06245
CDW Corp.,0.06211
"Nasdaq, Inc.",0.06207
"NVR, Inc. (a)",0.06191
Willis Towers Watson PLC,0.06146
"PulteGroup, Inc.",0.06119
M&T Bank Corp.,0.06111
Fifth Third Bancorp,0.05957
"Axon Enterprise, Inc. (a)",0.05892
Archer-Daniels-Midland Co.,0.05868
"American Water Works Co., Inc.",0.05855
Hershey Co.,0.05818
"Biogen, Inc. (a)",0.05801
Entergy Corp.,0.05781
"ANSYS, Inc. (a)",0.05719
"Keysight Technologies, Inc. (a)",0.05699
Fortive Corp.,0.05681
Veralto Corp.,0.05679
Garmin Ltd.,0.05562
"Cardinal Health, Inc.",0.05537
"Dexcom, Inc. (a)",0.05519
"International Flavors & Fragrances, Inc.",0.05512
"First Solar, Inc. (a)",0.05486
Hewlett Packard Enterprise Co.,0.05463
DTE Energy Co.,0.05461
"Ventas, Inc. REIT",0.05443
State Street Corp. (c),0.05428
Dover Corp.,0.05415
"Global Payments, Inc.",0.05354
SBA Communications Corp. REIT,0.05314
Halliburton Co.,0.05269
"Church & Dwight Co., Inc.",0.05267
Equity Residential REIT,0.05219
"NetApp, Inc.",0.05216
"Broadridge Financial Solutions, Inc.",0.05156
"Take-Two Interactive Software, Inc. (a)",0.05148
LyondellBasell Industries NV Class A,0.05124
"Tyler Technologies, Inc. (a)",0.05116
Weyerhaeuser Co. REIT,0.0506
"Brown & Brown, Inc.",0.0504
Devon Energy Corp.,0.05033
PPL Corp.,0.05014
Smurfit WestRock PLC,0.05009
Eversource Energy,0.04997
Deckers Outdoor Corp. (a),0.04995
"T. Rowe Price Group, Inc.",0.04981
STERIS PLC,0.04914
Ameren Corp.,0.04794
"Estee Lauder Cos., Inc. Class A",0.04772
"Hubbell, Inc.",0.04726
Seagate Technology Holdings PLC,0.04725
FirstEnergy Corp.,0.0467
"Raymond James Financial, Inc.",0.04663
"Moderna, Inc. (a)",0.04644
"Builders FirstSource, Inc. (a)",0.04639
Western Digital Corp. (a),0.04581
