iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,111,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","1,589,218,200.00","0.21","1,589,218,200.00","8,860,000.00","179.37","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,552,745,086.00","0.20","1,552,745,086.00","12,032,120.00","129.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,552,317,703.86","0.20","1,552,317,703.86","4,458,377.00","348.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,547,868,390.40","0.20","1,547,868,390.40","16,006,912.00","96.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,520,179,946.40","0.20","1,520,179,946.40","3,256,598.00","466.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,519,009,340.00","0.20","1,519,009,340.00","9,565,550.00","158.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,485,956,441.97","0.20","1,485,956,441.97","3,286,569.00","452.13","United States","NASDAQ","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,482,354,390.00","0.20","1,482,354,390.00","4,047,384.00","366.25","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","1,474,474,731.42","0.19","1,474,474,731.42","3,250,749.00","453.58","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","1,470,003,141.68","0.19","1,470,003,141.68","4,741,028.00","310.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,461,266,630.74","0.19","1,461,266,630.74","1,634,563.00","893.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,430,817,780.84","0.19","1,430,817,780.84","14,135,722.00","101.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
